"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000018326",6007.12521332011,5939.61464698128,5647.9561862836,5773.5782200439,5280.06609075256,5654.43100680131,6292.91859948194,5089.02739722375,5590.49422806454,"Ywhab"
"ENSMUSG00000018334",563.628900232595,483.655619808677,589.969953358005,632.49249272333,670.929746363247,643.446291206112,1113.23267049991,741.750178880935,626.398177953558,"Ksr1"
"ENSMUSG00000018339",165.401378199098,190.585485872564,125.871673648224,181.188534822325,107.866518707918,169.664942457333,176.802315586179,126.974476434052,221.210545361222,"Gpx3"
"ENSMUSG00000018340",733.244326283899,827.069089635656,810.031314770206,1592.90288589197,1880.113421079,296.646880522884,573.05273142254,913.485441971594,1077.58008235367,"Anxa6"
"ENSMUSG00000018341",9.48160766746421,19.7777390999831,24.8318267741395,30.0128247865201,16.1799778061876,6.40245065876728,0,9.13485441971594,14.2363222262172,"Il12rb2"
"ENSMUSG00000018347",325.535196582938,329.928647713354,338.226606061556,402.39416936001,314.970234627119,275.305378326993,388.254331211861,314.238992038228,231.066460748603,"Zkscan6"
"ENSMUSG00000018362",6214.66707004127,6831.41088276234,6678.048862466,5802.47945872721,5244.47013957895,5927.60223490871,3056.28123425355,5589.61741942418,6166.51772737148,"Kpna2"
"ENSMUSG00000018363",665.819560648598,616.705864663109,633.63971768494,638.050423239352,629.940469254238,637.043840547345,678.778739235381,657.709518219548,578.213702726361,"Smurf2"
"ENSMUSG00000018372",226.50507205609,238.231857340705,202.07969374817,173.407432099894,217.890367789993,184.603993994457,160.810146337178,143.41721438954,169.740765004898,"Cep95"
"ENSMUSG00000018377",865.986833628398,878.31141366743,973.578863524022,790.337719378362,927.652060888091,714.940323562347,600.594800684709,712.518644737843,732.623043795333,"Vezf1"
"ENSMUSG00000018378",16.8561914088253,30.5655967908829,67.6453212123111,36.6823414057467,79.821223843859,19.2073519763019,6.2191769301671,22.8371360492899,8.76081367767214,"2210416O15Rik"
"ENSMUSG00000018379",8088.86485231003,8309.34738641562,7894.80837439884,6072.59488180589,6118.18894111308,8061.75245449781,5569.71716788822,6488.48709432423,7362.36879437373,"Srsf1"
"ENSMUSG00000018381",17.9097033718768,16.1817865363498,24.8318267741395,50.0213746442001,51.7759289798004,13.8719764273291,57.7495000658374,21.0101651653467,72.2767128407952,"Abi3"
"ENSMUSG00000018387",2.10702392610316,0.898988140908322,0,0,0,1.06707510979455,0.888453847166729,2.74045632591478,0,"Shroom1"
"ENSMUSG00000018395",64.2642297461463,55.737264736316,71.0704007673648,64.4719939858579,76.5852282826215,96.0367598815093,103.949100118507,86.7811169873014,81.0375265184673,"Kif3a"
"ENSMUSG00000018398",80.06690919192,61.1311935817659,44.5260342156985,58.9140634698357,138.069143946134,35.2134786232201,12.4383538603342,107.791282152648,31.7579495815615,"Sept8"
"ENSMUSG00000018401",1142.00696794791,1011.36165852186,1124.28236394639,958.187220962233,913.629413456062,878.202815360912,822.708262476391,998.439588074952,730.432840375915,"Mtmr4"
"ENSMUSG00000018405",292.876325728339,312.847873036096,321.95747817505,227.875151156912,225.441024099548,330.79328403631,230.109546416183,396.452681815672,338.386428300087,"Mrm1"
"ENSMUSG00000018411",3.16053588915474,0,0.856269888763432,5.55793051602223,4.3146607483167,3.20122532938364,1.77690769433346,0.913485441971594,1.09510170970902,"Mapt"
"ENSMUSG00000018412",1057.72601090379,1087.77565049907,1215.90324204407,1161.60747784865,1169.27306279383,933.690721070229,977.299231883402,1182.96364735321,931.931554962374,"Kansl1"
"ENSMUSG00000018415",1226.28792499204,1355.67411648975,1257.00419670472,774.775513933499,1104.55315156908,1283.69135708284,767.624123952054,975.602452025663,904.554012219649,"Gid4"
"ENSMUSG00000018417",243.361263464915,278.68632368158,222.630171078492,248.995287117796,247.014327841131,308.384706730624,172.360046350345,196.399370023893,169.740765004898,"Myo1b"
"ENSMUSG00000018425",589.966699308884,580.746339026776,619.083129575961,624.711390000899,568.456553590725,534.604630007068,648.571308431712,653.14209100969,922.075639574993,"Dhx40"
